"39123100 - Carboxyméthylcellulose et ses sels, sous formes primaires"
"Exportation";"Masse en kilogramme";"Hongrie";2108;57756;19321;77020;39420;76899;76955;57741;76915;79974;39422;58700;96130
"Exportation";"Masse en kilogramme";"Royaume-Uni";45081;134954;72718;67373;120696;104382;111132;136754;71749;183377;185640;26166;77610
"Exportation";"Masse en kilogramme";"Pologne";45508;38496;67222;26138;29778;55218;47782;44929;67535;38487;90498;28475;69456
"Exportation";"Masse en kilogramme";"Indonésie";62425;0;19251;115250;20000;19250;20400;32000;10000;66250;0;31025;47500
"Exportation";"Masse en kilogramme";"Chine";28225;63800;60354;57636;54527;86500;38360;29551;65434;60897;47337;126768;44625
"Exportation";"Masse en kilogramme";"Irlande";20190;32812;61675;20725;40690;40450;20000;20375;20251;43376;40000;40301;40115
"Exportation";"Masse en kilogramme";"Inde";28961;18900;29875;55013;18797;45400;15882;24600;9957;52725;27614;14300;39112
"Exportation";"Masse en kilogramme";"Allemagne";37429;102267;143237;88781;103528;111315;69941;59760;70770;177716;115385;56865;34593
"Exportation";"Masse en kilogramme";"Italie";7434;73616;25441;29598;29530;24988;22300;23047;23167;35749;30503;21364;33579
"Exportation";"Masse en kilogramme";"Espagne";14293;28296;33214;30168;15956;27603;26512;21012;25527;22279;19654;17359;30286
"Exportation";"Masse en kilogramme";"Philippines";16600;2000;0;35400;20000;36000;0;1300;50000;19500;0;0;30000
"Exportation";"Masse en kilogramme";"Pakistan";29825;16075;48250;7000;13750;27800;14000;37750;0;3000;7000;79025;27500
"Exportation";"Masse en kilogramme";"Belgique";12094;21342;11692;24742;2619;40045;23340;17550;21933;11710;1205;19926;22779
"Exportation";"Masse en kilogramme";"République tchčque";306;2304;5921;10762;807;2820;5926;11207;316;5187;10427;3192;21752
"Exportation";"Masse en kilogramme";"Argentine";32900;10075;30000;900;40675;30000;11225;20300;10000;10950;400;30000;21650
"Exportation";"Masse en kilogramme";"Taďwan";0;0;2000;0;4000;0;0;0;1000;2250;0;1250;20000
"Exportation";"Masse en kilogramme";"Thaďlande";10500;28000;0;21500;19000;0;10000;0;0;30175;100;20000;20000
"Exportation";"Masse en kilogramme";"Brésil";7625;2725;24075;23575;2425;9225;13425;3475;11320;30600;7000;10775;18375
"Exportation";"Masse en kilogramme";"Bangladesh";14600;0;4000;6000;100;0;12500;189;0;18000;3000;1000;18000
"Exportation";"Masse en kilogramme";"Corée du Sud";100350;18675;16375;72425;8225;5080;125;63000;32925;17100;47650;10600;16600
"Exportation";"Masse en kilogramme";"Mexique";41650;10150;20025;0;12075;20822;0;28189;39850;48150;28305;5100;13025
"Exportation";"Masse en kilogramme";"Afrique du Sud";30797;21000;15010;22267;400;7883;2150;1625;4753;5789;0;5375;12956
"Exportation";"Masse en kilogramme";"Autriche";15400;16340;28278;24400;19715;18350;19200;24813;14250;19655;26700;1024;12125
"Exportation";"Masse en kilogramme";"Malaysie";1000;5000;0;0;8000;3000;617;0;4000;7000;12100;0;10675
"Exportation";"Masse en kilogramme";"Ouganda";0;0;0;0;0;0;10000;0;0;0;0;0;10000
"Exportation";"Masse en kilogramme";"Pays-Bas";12450;11265;18962;24625;7679;13609;9373;12916;7177;8297;14229;4598;8676
"Exportation";"Masse en kilogramme";"Turquie";2500;5375;6325;7583;13090;11509;4320;4960;2000;21250;11200;30;8084
"Exportation";"Masse en kilogramme";"Danemark";187678;68675;184000;99250;72228;19350;58600;18775;29025;80941;68050;0;7675
"Exportation";"Masse en kilogramme";"Luxembourg";8000;56;12031;4371;0;8113;4103;94;13046;6041;6001;6083;6151
"Exportation";"Masse en kilogramme";"Vietnam";0;22000;14000;1050;22000;0;0;12000;13000;28000;12000;22000;6050
"Exportation";"Masse en kilogramme";"Canada";700;50;0;6025;1000;15625;13525;11695;0;9530;1000;1146;4205
"Exportation";"Masse en kilogramme";"Emirats Arabes Unis";11500;0;0;2000;12000;1800;11800;1200;0;2800;0;3600;4175
"Exportation";"Masse en kilogramme";"Maroc";1;0;1000;14901;100;4250;0;1824;0;0;4000;1024;4100
"Exportation";"Masse en kilogramme";"Bulgarie";4412;8565;7490;3400;6526;4050;6260;1203;3175;8400;300;4903;4000
"Exportation";"Masse en kilogramme";"Australie";3859;1008;2157;1175;2650;2202;1665;1050;0;750;2439;738;2344
"Exportation";"Masse en kilogramme";"Nouvelle-Zélande";0;2500;0;0;0;0;0;500;1000;575;1125;1000;2154
"Exportation";"Masse en kilogramme";"Singapour";0;250;0;907;2000;0;250;0;1500;0;0;0;2068
"Exportation";"Masse en kilogramme";"Arabie Saoudite";25;0;300;100;2000;0;5400;0;0;0;50;0;2000
"Exportation";"Masse en kilogramme";"Egypte";0;23500;0;36750;10000;25;40000;550;13750;0;1500;0;2000
"Exportation";"Masse en kilogramme";"Tunisie";0;75;0;0;65;625;0;300;594;1000;40;0;1707
"Exportation";"Masse en kilogramme";"Suisse";570;1716;3618;3515;4341;1100;1222;3309;4330;429;328;585;1433
"Exportation";"Masse en kilogramme";"Grčce";1260;5450;3260;5427;7611;2649;3535;9197;1696;3075;3981;4524;1381
"Exportation";"Masse en kilogramme";"Norvčge (yc Svalbard)";0;0;1000;0;0;6858;0;0;0;0;800;1250;1250
"Exportation";"Masse en kilogramme";"Japon";25;4600;2825;1153;2250;13600;6900;200;250;2025;1400;18225;1025
"Exportation";"Masse en kilogramme";"Serbie";1149;1056;1123;262;0;1025;312;6000;61;1000;145;0;1006
"Exportation";"Masse en kilogramme";"Arménie";1890;0;2100;0;0;5340;0;0;0;0;0;0;630
"Exportation";"Masse en kilogramme";"Colombie";0;0;0;720;0;0;0;0;0;25;400;0;215
"Exportation";"Masse en kilogramme";"Portugal";942;2303;3017;5630;3228;1273;2073;5693;2296;934;6428;2413;158
"Exportation";"Masse en kilogramme";"Jordanie";200;0;0;0;0;0;0;0;105;0;0;0;75
"Exportation";"Masse en kilogramme";"Sučde";1205;11000;9150;100;12225;6127;3000;6013;6350;15;14100;1075;57
"Exportation";"Masse en kilogramme";"Uruguay";0;0;0;0;0;0;0;0;0;0;0;0;50
"Exportation";"Masse en kilogramme";"Andorre";0;0;1;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Slovénie";0;409;250;0;152;100;281;125;309;0;100;100;0
"Exportation";"Masse en kilogramme";"Swaziland";0;10000;0;0;0;0;5000;0;0;5000;0;0;0
"Exportation";"Masse en kilogramme";"Sénégal";0;0;0;0;0;0;1;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Slovaquie";0;8539;0;8511;8518;0;0;0;8523;0;8500;8540;0
"Exportation";"Masse en kilogramme";"Trinité et Tobago";0;0;0;0;0;925;0;0;925;0;0;0;0
"Exportation";"Masse en kilogramme";"Ukraine";0;1850;100;1600;1021;0;100;0;900;850;0;150;0
"Exportation";"Masse en kilogramme";"Iran";0;0;22000;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Irak";0;0;0;200;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Israël";6050;0;13275;200;10300;125;10525;350;10100;125;100;7904;0
"Exportation";"Masse en kilogramme";"Sri Lanka";0;0;0;0;0;1500;0;0;0;4000;0;0;0
"Exportation";"Masse en kilogramme";"Liban";1300;10250;0;20000;0;0;10000;183;0;0;11300;0;0
"Exportation";"Masse en kilogramme";"Lettonie";0;7;0;0;33;4;0;0;0;0;0;4;0
"Exportation";"Masse en kilogramme";"Lituanie";0;0;0;0;0;88;0;0;0;0;40;0;0
"Exportation";"Masse en kilogramme";"Paraguay";0;0;0;0;25;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Russie";200;0;0;200;0;0;100;0;0;0;0;300;0
"Exportation";"Masse en kilogramme";"Roumanie";0;0;10600;650;11400;12250;6588;0;6350;6011;600;2700;0
"Exportation";"Masse en kilogramme";"Pérou";2725;0;2025;12000;0;0;15095;0;12000;25;13125;0;0
"Exportation";"Masse en kilogramme";"Népal";0;0;0;0;0;0;25;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Nouvelle Calédonie";0;0;0;0;0;1;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Ancienne république yougoslave de Macédoine";0;100;0;50;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Costa Rica";0;1250;0;0;0;0;0;300;0;25;0;0;0
"Exportation";"Masse en kilogramme";"Chili";0;719;0;1925;0;1000;1075;0;1125;0;0;500;0
"Exportation";"Masse en kilogramme";"Côte d Ivoire";0;0;0;0;0;0;0;0;0;796;900;0;0
"Exportation";"Masse en kilogramme";"Bosnie-Herzégovine";0;0;0;125;0;0;0;0;299;150;0;0;0
"Exportation";"Masse en kilogramme";"Bolivie";25;0;100;0;0;25;25;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Hong-Kong";0;0;2;0;0;1;0;0;0;0;0;2;0
"Exportation";"Masse en kilogramme";"Croatie";560;5000;4250;0;5000;298;200;8125;22;0;0;0;0
"Exportation";"Masse en kilogramme";"Géorgie";0;161;0;0;630;1;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Guinée";0;0;1000;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Ghana";1000;0;0;1000;0;0;0;1000;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Finlande";0;4000;0;4000;400;0;4000;13;4025;75;0;4075;0
"Exportation";"Masse en kilogramme";"Ethiopie";0;1106;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Algérie";75;0;15601;3000;10000;2040;175;1400;0;1150;44;14715;0
"Exportation";"Masse en kilogramme";"République dominicaine";32399;0;80872;0;113262;64704;16228;18326;119514;81355;0;29844;0
"Importation";"Valeur en euros";"Total";573173;780696;800990;648229;942466;877366;680537;1135256;559585;903275;910588;917638;698111
"Importation";"Valeur en euros";"Pays-Bas";48804;111551;76108;108185;82215;162797;82662;167217;175760;259062;141742;160354;162657
"Importation";"Valeur en euros";"Allemagne";85770;206312;220811;107976;253257;346332;206650;188523;139851;227274;398697;158721;154352
"Importation";"Valeur en euros";"Italie";169635;45268;135128;138133;157501;88814;77364;155004;48407;104768;128514;126047;133020
"Importation";"Valeur en euros";"Chine";115005;62881;40143;10997;271;51883;53798;2573;383;13871;6191;126678;76980
"Importation";"Valeur en euros";"Autriche";44047;37504;24518;83457;20100;74426;22747;38403;24518;57441;78166;65068;33799
"Importation";"Valeur en euros";"Indonésie";0;0;0;0;61;0;0;0;0;0;0;0;31349
"Importation";"Valeur en euros";"Irlande";0;67600;26371;30382;69640;24364;79240;0;2014;45696;7300;95761;25114
"Importation";"Valeur en euros";"Japon";0;29;180;0;0;0;0;0;0;91242;0;0;25056
"Importation";"Valeur en euros";"Brésil";76;0;47611;0;88877;0;0;454225;0;0;21030;0;14150
"Importation";"Valeur en euros";"Belgique";31151;81672;40364;27711;71590;41372;43593;8318;34275;6367;8608;26231;11813
"Importation";"Valeur en euros";"Turquie";8913;723;0;9094;70000;0;29501;235;0;0;0;0;8301
"Importation";"Valeur en euros";"Retour France";0;18520;12490;51002;18242;69;9232;10140;2172;11290;16766;37322;7704
"Importation";"Valeur en euros";"Finlande";15290;54081;105290;2755;47452;24591;41106;49296;68845;35377;41485;70976;6758
"Importation";"Valeur en euros";"Espagne";1145;13305;34305;24363;30625;7317;15233;43010;7244;39322;11622;27825;5959
"Importation";"Valeur en euros";"Pays non classifiés ailleurs";1422;0;65;1402;0;765;665;16940;1867;427;0;0;675
"Importation";"Valeur en euros";"Royaume-Uni";225;1852;2811;868;24996;0;867;161;682;3036;6195;2208;283
"Importation";"Valeur en euros";"Etats-Unis d Amérique";171;2127;2806;22283;2489;1470;187;1211;1751;30;877;1171;103
"Importation";"Valeur en euros";"Israël";0;0;0;0;0;0;0;0;0;35;0;0;36
"Importation";"Valeur en euros";"Australie";0;0;0;0;0;0;0;0;0;0;0;0;2
"Importation";"Valeur en euros";"Suisse";0;0;2606;5270;5150;0;0;0;0;0;2611;0;0
"Importation";"Valeur en euros";"Danemark";0;0;0;0;0;0;7278;0;0;0;2216;14707;0
"Importation";"Valeur en euros";"Inde";5553;76028;25813;375;0;52779;1690;0;51816;150;25788;785;0
"Importation";"Valeur en euros";"Taďwan";0;0;0;0;0;0;8340;0;0;0;0;0;0
"Importation";"Valeur en euros";"Sučde";0;0;0;9661;0;0;0;0;0;0;0;0;0
"Importation";"Valeur en euros";"Portugal";684;0;0;0;0;0;0;0;0;0;0;0;0
"Importation";"Valeur en euros";"Pologne";0;0;3570;14315;0;387;384;0;0;7887;0;3784;0
"Importation";"Valeur en euros";"Corée du Sud";0;1243;0;0;0;0;0;0;0;0;0;0;0
"Importation";"Valeur en euros";"Liban";45282;0;0;0;0;0;0;0;0;0;0;0;0
"Importation";"Valeur en euros";"Luxembourg";0;0;0;0;0;0;0;0;0;0;12780;0;0
"Importation";"Masse en kilogramme";"Total";224473;214706;246301;218280;238787;253924;174821;218720;105578;180139;172088;206026;235477
"Importation";"Masse en kilogramme";"Pays-Bas";23338;13882;23437;15538;5178;34115;2421;31786;7041;40718;7042;8374;108471
"Importation";"Masse en kilogramme";"Italie";68366;17175;52910;51575;64999;38210;34051;56720;16321;41010;52501;47107;56831
"Importation";"Masse en kilogramme";"Chine";35502;20000;7098;18;45;18108;18365;1005;3;3006;937;42027;25271
"Importation";"Masse en kilogramme";"Autriche";20000;20000;10000;36000;10000;34000;12000;16000;10000;27001;31000;30050;15000
"Importation";"Masse en kilogramme";"Indonésie";0;0;0;0;0;0;0;0;0;0;0;0;10000
"Importation";"Masse en kilogramme";"Turquie";6875;148;0;6899;20000;0;15150;100;0;0;0;0;6750
"Importation";"Masse en kilogramme";"Japon";0;0;0;0;0;0;0;0;0;3100;0;0;3000
"Importation";"Masse en kilogramme";"Belgique";45178;68802;34370;45967;65130;58747;21281;2475;12599;2304;2210;10153;2847
"Importation";"Masse en kilogramme";"Espagne";75;8218;11350;11446;4654;1981;8742;10784;2995;7975;2038;13492;1907
"Importation";"Masse en kilogramme";"Retour France";0;2000;3075;19339;3680;16;1075;1271;1483;1820;3399;8804;1368
"Importation";"Masse en kilogramme";"Brésil";1;0;4800;0;8800;0;0;45600;0;0;2400;0;1200
"Importation";"Masse en kilogramme";"Finlande";4006;15000;36000;1022;8095;10313;10250;19269;26020;15020;8216;23272;1178
"Importation";"Masse en kilogramme";"Allemagne";14385;38695;57761;23635;42458;51110;46088;32699;24712;36015;46787;16540;1036
"Importation";"Masse en kilogramme";"Irlande";0;4000;2720;780;4000;2660;4400;0;160;800;500;4660;580
"Importation";"Masse en kilogramme";"Royaume-Uni";23;211;82;12;388;0;10;6;143;168;227;291;28
"Importation";"Masse en kilogramme";"Israël";0;0;0;0;0;0;0;0;0;10;0;0;10
"Importation";"Masse en kilogramme";"Inde";501;6500;2000;25;0;4530;14;0;4000;0;2000;78;0
"Importation";"Masse en kilogramme";"Danemark";0;0;0;0;0;0;250;0;0;0;100;500;0
"Importation";"Masse en kilogramme";"Suisse";0;0;500;1000;1000;0;0;0;0;0;547;0;0
"Importation";"Masse en kilogramme";"Etats-Unis d Amérique";6;45;138;1273;360;83;14;4;1;0;184;76;0
"Importation";"Masse en kilogramme";"Taďwan";0;0;0;0;0;0;600;0;0;0;0;0;0
"Importation";"Masse en kilogramme";"Luxembourg";0;0;0;0;0;0;0;0;0;0;12000;0;0
"Importation";"Masse en kilogramme";"Liban";6000;0;0;0;0;0;0;0;0;0;0;0;0
"Importation";"Masse en kilogramme";"Corée du Sud";0;30;0;0;0;0;0;0;0;0;0;0;0
"Importation";"Masse en kilogramme";"Portugal";139;0;0;0;0;0;0;0;0;0;0;0;0
"Importation";"Masse en kilogramme";"Pologne";0;0;60;2151;0;50;50;0;0;1114;0;602;0
"Importation";"Masse en kilogramme";"Pays non classifiés ailleurs";78;0;0;100;0;1;60;1001;100;78;0;0;0
"Importation";"Masse en kilogramme";"Sučde";0;0;0;1500;0;0;0;0;0;0;0;0;0
"Fin de fichier"
